model,model_params,train_params,best_val_acc,test_acc,test_loss
attn,"{'hidden_size': 64, 'dropout': 0.3, 'embed_dim': 100}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",73.31,72.67,0.6367
attn,"{'hidden_size': 64, 'dropout': 0.2, 'embed_dim': 100}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",71.47,73.99,0.6785
attn,"{'hidden_size': 128, 'dropout': 0.2, 'embed_dim': 100}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",70.78,70.27,0.6087
attn,"{'hidden_size': 64, 'dropout': 0.2, 'embed_dim': 100}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",70.4,72.2,0.6251
attn,"{'hidden_size': 64, 'dropout': 0.3, 'embed_dim': 100}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",70.25,71.97,0.616
attn,"{'hidden_size': 128, 'dropout': 0.2, 'embed_dim': 100}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",70.17,71.4,0.6539
attn,"{'hidden_size': 128, 'dropout': 0.3, 'embed_dim': 100}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",69.4,70.6,0.5846
attn,"{'hidden_size': 128, 'dropout': 0.3, 'embed_dim': 100}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",68.56,70.56,0.5914
birnn,"{'hidden_dim': 64, 'dropout': 0.2}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",72.85,72.34,0.5697
birnn,"{'hidden_dim': 128, 'dropout': 0.3}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",72.78,71.68,0.6492
birnn,"{'hidden_dim': 128, 'dropout': 0.2}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",72.32,70.7,0.7013
birnn,"{'hidden_dim': 128, 'dropout': 0.3}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",72.16,72.15,0.6448
birnn,"{'hidden_dim': 64, 'dropout': 0.3}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",71.17,71.83,0.5821
birnn,"{'hidden_dim': 128, 'dropout': 0.2}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",71.01,69.29,0.7557
birnn,"{'hidden_dim': 64, 'dropout': 0.2}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",70.78,69.52,0.5924
birnn,"{'hidden_dim': 64, 'dropout': 0.3}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",70.25,70.37,0.6325
transformer,"{'embed_dim': 128, 'hidden_dim': 384, 'dropout': 0.3, 'nhead': 4, 'nlayers': 2}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",69.86,68.25,0.5963
transformer,"{'embed_dim': 128, 'hidden_dim': 384, 'dropout': 0.2, 'nhead': 4, 'nlayers': 2}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",69.48,68.72,0.5978
transformer,"{'embed_dim': 128, 'hidden_dim': 256, 'dropout': 0.3, 'nhead': 4, 'nlayers': 2}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",68.71,68.44,0.612
transformer,"{'embed_dim': 128, 'hidden_dim': 256, 'dropout': 0.2, 'nhead': 4, 'nlayers': 2}","{'lr': 0.0005, 'epochs': 3, 'weight_decay': 1e-05}",67.64,61.9,0.7671
transformer,"{'embed_dim': 128, 'hidden_dim': 384, 'dropout': 0.2, 'nhead': 4, 'nlayers': 2}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",66.79,69.14,0.5821
transformer,"{'embed_dim': 128, 'hidden_dim': 256, 'dropout': 0.2, 'nhead': 4, 'nlayers': 2}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",66.64,64.68,0.6717
transformer,"{'embed_dim': 128, 'hidden_dim': 256, 'dropout': 0.3, 'nhead': 4, 'nlayers': 2}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",66.26,64.82,0.7105
transformer,"{'embed_dim': 128, 'hidden_dim': 384, 'dropout': 0.3, 'nhead': 4, 'nlayers': 2}","{'lr': 0.001, 'epochs': 3, 'weight_decay': 1e-05}",66.26,66.09,0.6051
